tenure_months,monthly_usage,support_tickets,plan,churn
28,54.949049040565505,1,basic,0
31,64.20587954416199,2,pro,0
45,36.98573949503439,3,basic,0
57,45.41800663538175,1,basic,0
3,34.364560215484644,0,pro,0
9,67.89501905597582,0,basic,0
49,0.0,0,enterprise,0
56,30.575881276940336,1,enterprise,0
15,11.260147469938097,3,basic,0
19,53.76793211268537,0,enterprise,0
52,75.98437110766135,0,basic,0
25,73.83154542781648,0,basic,0
17,63.36302055176949,1,basic,0
49,54.96452768388717,0,pro,0
16,34.67876600446427,0,enterprise,0
25,74.36825836607997,1,enterprise,0
38,62.46628257234328,0,enterprise,0
33,33.113884866587085,4,pro,1
6,24.408706505923,0,pro,0
2,37.42648171759818,2,basic,1
52,71.63626011625145,2,enterprise,0
45,75.01720663654129,2,basic,0
50,82.31591027306484,0,basic,0
32,34.491549765341865,2,basic,0
49,42.802870022401926,0,basic,0
20,77.6540825305309,1,enterprise,0
27,54.40110309883919,1,enterprise,0
47,65.28442392997661,0,enterprise,0
8,23.581054084974067,1,basic,0
18,42.612159850486044,2,basic,0
8,49.684220351833304,3,pro,0
27,42.921676587920146,0,basic,0
58,41.72538660709941,0,basic,0
8,17.35319917315993,1,pro,0
23,82.6220834009824,0,basic,0
24,52.97970596552844,2,basic,0
54,20.9338841777016,2,basic,0
13,71.61507204463214,2,pro,0
30,51.44867986293882,0,basic,0
16,64.476441160534,1,pro,0
2,46.31675709063942,0,pro,0
45,34.54069308835183,1,enterprise,0
4,35.052998541794835,1,basic,0
17,57.120625815313126,1,enterprise,0
30,65.76383237029235,2,basic,0
29,60.08246967204754,1,pro,0
7,63.21613416833783,2,basic,0
58,74.39831716483367,1,pro,0
45,56.11256697762459,0,basic,0
57,70.48226864310186,0,enterprise,0
6,72.5895223770604,1,pro,0
43,56.33247072455816,2,enterprise,0
18,48.99990979811003,0,enterprise,0
32,41.86216938502533,0,basic,0
55,26.529351134126724,1,basic,0
17,19.476551837210792,0,basic,0
43,76.91195881663884,0,basic,0
10,50.41922860598665,0,enterprise,0
20,39.7364393743433,3,pro,0
58,82.28602472509954,1,pro,0
25,70.18703743479145,0,basic,0
31,51.98104381321859,2,basic,0
18,70.92927696399252,3,basic,0
7,47.043163629274524,3,enterprise,0
26,58.07243833300735,0,basic,0
37,87.34272605652896,0,basic,0
27,72.13093957996998,2,pro,0
46,45.513253254661265,0,enterprise,0
22,64.89071074427719,0,basic,0
37,74.68486735789818,0,basic,0
46,48.73525522645375,1,enterprise,0
55,42.77401848160498,1,basic,0
26,88.68863180300539,1,pro,0
3,45.31407214898484,2,pro,0
43,24.905345085454293,0,basic,0
32,54.24252671132572,4,pro,0
52,97.25349580658391,2,pro,0
28,64.2008092011083,0,basic,0
22,70.88034673757059,0,basic,0
4,8.48964406659367,1,pro,0
27,40.926470232105885,0,pro,0
38,76.23683223745066,2,pro,0
46,44.145748397843434,0,pro,0
51,78.63629402558158,1,pro,0
13,61.91252605648027,0,basic,0
35,60.37832743901015,1,enterprise,0
48,86.11201188326274,0,enterprise,0
16,42.471170656350196,3,basic,0
21,43.21534276519269,0,pro,0
50,54.7477129829105,2,basic,0
35,57.024589019684626,0,pro,0
31,18.712112930400654,0,pro,0
40,77.2651157564799,2,pro,0
31,57.256611905885094,1,basic,0
58,49.37450509026708,1,enterprise,0
45,65.12695838153564,0,basic,0
4,44.788511993482665,0,pro,0
9,76.87173318906784,1,basic,1
33,54.028366251311404,2,enterprise,0
49,67.15904901772427,1,pro,0
5,35.008980227744324,1,enterprise,0
41,47.16887166023574,1,pro,0
45,60.150943365831836,0,pro,0
47,33.78561995163177,2,pro,0
52,39.4771267041679,0,basic,0
12,51.604163597923296,0,basic,0
33,74.88166150450738,2,enterprise,0
48,67.83706268859943,0,pro,0
22,70.68350019616432,2,basic,0
12,58.65703291728408,1,basic,0
29,70.61174212747956,3,basic,0
5,83.37403377852085,0,pro,0
13,55.912817878035035,0,enterprise,0
51,61.24434356308472,0,basic,0
40,64.20152077632243,1,pro,0
51,12.479520741714921,2,basic,0
50,50.503342901028866,0,enterprise,0
52,60.833300742837615,1,basic,0
19,67.53571860020037,0,basic,0
28,46.01933594127295,2,enterprise,0
37,71.92520458517134,2,basic,0
17,39.60201777087352,0,enterprise,0
55,48.85510154937394,3,basic,1
1,86.0140081750634,0,basic,0
50,25.32403162035498,1,enterprise,0
39,50.71119113517926,0,enterprise,0
15,49.29354625701597,2,basic,0
43,50.39620033098942,1,basic,0
25,41.49274601282731,1,basic,0
50,65.10883996886807,0,basic,0
59,30.683892917044727,4,basic,1
17,25.625324421579165,1,basic,0
28,61.593847449293435,0,pro,0
13,28.116588074374192,0,enterprise,0
41,59.395897126003455,2,basic,0
38,52.295078303552096,0,pro,0
50,38.121493101999945,1,pro,0
48,44.89714448992646,1,pro,0
58,49.772287658995545,0,basic,0
57,60.6806435098651,0,enterprise,0
53,39.02853405143921,0,basic,0
9,47.41960646643606,2,pro,0
3,22.943139880320103,3,enterprise,0
29,46.03790441803977,1,pro,0
21,13.133639508905958,1,basic,0
53,50.50272617215529,0,basic,0
48,42.2660113380135,3,pro,0
25,93.14384645908112,1,pro,0
34,76.94455615785765,1,pro,0
35,48.22130792463172,0,pro,0
53,70.12522056637947,0,basic,0
2,56.79940227711236,0,basic,0
29,28.149252127172062,0,basic,0
40,2.5864700542662575,0,basic,0
27,73.14959954167425,0,pro,0
55,58.73467855323161,3,pro,0
57,11.833039794481074,2,basic,0
49,63.60480367428124,1,pro,0
28,69.0994483055379,0,pro,0
53,37.1534591158402,2,basic,0
5,66.57422649224645,0,enterprise,0
39,16.379580781904693,0,basic,0
16,46.36021752700323,1,pro,0
15,51.4195433453463,0,basic,0
41,66.3312960583892,1,basic,0
46,58.64333634847434,2,pro,0
53,55.1081450915832,0,basic,0
13,61.75638287076647,0,pro,0
52,37.56004994136628,3,pro,0
50,80.17659536010585,0,enterprise,0
19,43.80123429578394,3,enterprise,1
4,66.46736742080532,1,basic,0
46,50.50700061243997,0,pro,0
49,45.65118533769135,0,basic,0
28,62.27020640858639,2,basic,0
10,59.477298449942815,1,pro,0
9,77.40286379091214,0,pro,0
23,72.01828697528558,0,pro,0
45,39.19509308003969,2,enterprise,0
19,60.560171437835464,0,basic,0
2,52.58469038169477,0,basic,0
41,34.63368593415109,2,enterprise,0
44,28.536954586258048,1,pro,0
11,55.62515144835303,1,pro,0
34,39.83208737548032,2,basic,0
24,22.795899072763216,1,pro,0
30,48.62208721540551,1,pro,0
1,54.92813256253399,1,basic,0
38,52.48925671691583,0,pro,0
16,26.405380014583656,1,pro,0
33,38.89187011982903,0,basic,0
25,77.83976428415897,1,pro,0
36,35.07192484906393,3,pro,0
7,43.918579958732195,2,pro,0
22,96.52554936247425,2,basic,0
38,57.39268809063966,0,enterprise,0
46,40.3743647301544,0,pro,0
23,11.518645208703212,2,basic,0
2,56.54818757633225,1,pro,0
43,22.581485127595116,1,basic,0
30,49.83153326097059,2,enterprise,0
39,32.98868673456491,1,basic,0
10,16.835183528918904,1,pro,0
26,83.32575851617773,0,basic,0
53,48.132680683724764,2,basic,0
52,68.6175576289761,0,basic,0
19,64.99752299273925,0,pro,0
38,35.597718044736645,1,basic,0
5,51.96668862844202,0,basic,1
48,43.03673286372174,0,pro,0
16,69.44422360856763,1,enterprise,0
21,58.75923643150945,1,enterprise,0
57,43.049883340781115,0,enterprise,0
33,,0,enterprise,0
52,60.49328430987187,3,basic,0
12,59.3474523266576,0,pro,0
45,34.4490697540108,2,pro,0
59,58.24503538168438,1,basic,0
5,20.801027293622706,1,basic,0
15,59.32858647311617,0,basic,0
9,31.378444986984494,2,basic,0
16,53.7454372260937,1,basic,0
19,44.52510698470608,2,basic,0
5,54.636217235359396,1,basic,0
53,57.21003239252465,4,basic,0
16,48.89509818396515,1,enterprise,0
55,48.91475626471241,4,pro,0
46,20.2639623404526,1,enterprise,0
11,12.041661685140227,0,basic,0
42,75.23178127408947,0,pro,0
46,61.47967387227797,0,basic,0
8,20.417011798442687,0,pro,0
