sqft,bedrooms,age,neighborhood,price
1875.438132656036,5,30,D,291045.32353164366
1720.7370820252188,3,71,C,298243.6976690091
2184.2535902659693,1,15,C,399997.8550847908
1862.9400702918238,2,3,A,276631.2197401506
1478.5983761033335,1,23,A,225519.91663976893
2016.9570329456908,2,36,A,292396.9338575327
2582.4000270780825,4,45,A,424243.0475574807
2368.2485778775454,1,15,A,326605.96122905036
1377.7588585158044,3,11,C,252827.3718655747
1040.7471173723684,2,24,C,250103.4443412159
1426.0353224775886,5,44,C,272671.62430420966
1824.795587608346,1,14,B,275530.0170020504
404.9815352166993,2,53,B,126112.2591494134
1668.7250016404726,3,62,B,267040.4617499728
1052.4534316481609,2,27,A,152886.34076887218
1360.6395871779291,2,22,A,222041.38559401137
1473.444610285614,1,35,C,245876.04906096408
1610.2199061785072,1,77,B,251384.26486757107
2046.9783218244797,4,34,B,308065.0504216226
2425.5080216656065,2,41,B,355518.3787397176
1722.8792022335795,1,9,A,306718.83892643946
2619.8780823298116,3,45,C,403287.8275582059
1400.883195908032,3,15,B,258074.88924925326
2010.906042055812,2,63,B,334806.52099699096
2342.082108991085,2,25,A,367153.8649156217
1856.4073786565248,5,54,A,312878.2299093837
1353.900450387715,5,36,C,290605.2221205036
1246.9647742449483,1,68,B,236485.61362325988
1525.3645045995966,1,61,C,262635.73175300384
1932.1170740820296,4,10,C,412336.42207085516
1194.2290898767585,5,20,A,232571.6057614248
1674.494655076972,5,39,B,260101.33701624762
1704.4649940513134,5,57,D,324046.253473122
2124.5073508114847,5,43,A,320577.7292864337
1928.7954735038045,4,52,B,328944.9637016746
2013.2236254239529,3,8,B,356277.1543218084
1407.7028343489965,1,51,A,237518.89417214683
1722.2318197843383,3,58,A,244783.5677083948
2270.385282036798,2,38,A,313815.4707290464
2696.0586871324563,1,36,D,357877.936348365
1044.560680737528,2,40,A,253932.01763648074
2708.3542648434377,3,49,A,396068.1728556551
2607.5252542693825,2,63,D,343979.3713401928
2268.7868404202563,4,69,A,339700.857963524
1958.6733781975822,2,12,A,321381.9716590792
1611.6463112781432,2,56,C,337264.6970402718
2674.812410122175,5,61,C,439671.6525853254
2976.1549898699786,1,61,A,381463.4461445717
2880.980921919675,2,29,B,408181.9517899997
2589.0622588406222,3,23,A,363203.2423187898
2014.4282463953737,5,7,C,401899.5383603102
1075.008820630697,1,35,A,188944.92847763837
1797.32752012795,2,16,B,314705.296673008
2193.8849610458014,3,73,A,359163.3699518179
1026.9831217502674,1,57,A,158557.86350125258
2037.073236109205,3,31,C,386620.0253323378
2057.918216893338,2,25,A,317048.79647213855
2217.6256343777213,5,37,B,353719.6612187915
1089.5292199456867,3,34,A,182403.66231585993
1402.9784567765792,1,10,A,215468.8683833835
1538.1388517140672,3,36,B,270183.3895879625
1098.1188553362815,4,53,B,241610.22404076543
2843.6207262780804,5,28,C,498565.1907507046
1502.4535629347088,1,18,C,290866.12800841365
1997.3817776761211,1,37,B,333029.19068659603
1644.8564727156456,3,13,A,274192.40723417705
2750.0837272812732,1,18,A,391373.8793780107
2592.2165922491035,4,69,A,369292.27696735796
2180.011573694949,5,64,A,382464.452669412
,3,14,C,217995.28152816585
1831.2173845559319,4,17,A,284363.71587533416
2210.2117144659205,2,47,B,358899.1880663115
2402.3769455053016,5,61,B,385991.73978535796
1429.2557731754396,5,21,B,269540.3999063864
2893.206817996994,3,72,D,403088.91953967646
1007.7414179920239,5,38,B,224042.6373423207
1403.0831869108686,1,5,A,228866.1168244839
2361.0299928684135,2,73,A,321765.2591446627
1829.432768295187,2,79,B,279492.9638618081
3001.4355501871532,1,61,A,366075.65028203814
1913.1115155074795,4,65,B,295509.0790291994
1420.083545884664,2,61,B,236065.01702769552
1573.461896860315,1,24,C,311600.9534346335
1145.3123294284828,1,7,B,253439.81937082982
1033.3919001680351,5,55,D,191499.30779443457
2178.246894460939,4,8,B,331335.4760257625
2148.6994874476836,3,47,C,349493.69370951643
2576.7352916646705,4,61,B,403623.2651877326
1347.2365252440413,4,25,B,243820.87751971133
2813.464471466204,3,38,C,422711.28226276557
1627.5673753148003,4,37,C,308519.9931805899
2744.644967306752,1,67,B,386892.49391127337
1540.328491690442,4,27,C,319005.2136950939
1358.710024594635,5,30,B,240917.28903971857
1949.8712229352002,3,46,C,340649.58032309794
2418.8718509216833,1,50,A,349133.636188893
1896.6057460292068,5,27,C,376746.9570205685
1448.682705525998,3,21,A,269933.8543453322
995.2681715539985,1,36,B,199798.71818302717
